feature,protlabels
ITGB5,ONCOLOGY
Gal.1,ONCOLOGY
SEZ6L,ONCOLOGY
GPNMB,ONCOLOGY
CAIX,ONCOLOGY
MIA,ONCOLOGY
CTSV,ONCOLOGY
CD27,ONCOLOGY
XPNPEP2,ONCOLOGY
ERBB4,ONCOLOGY
HGF.1,ONCOLOGY
ADAM.8,ONCOLOGY
X5..NT,ONCOLOGY
CDKN1A,ONCOLOGY
DLL1,ONCOLOGY
MK,ONCOLOGY
ABL1,ONCOLOGY
FGF.BP1,ONCOLOGY
TLR3,ONCOLOGY
LYN,ONCOLOGY
RET,ONCOLOGY
VIM,ONCOLOGY
TNFRSF19,ONCOLOGY
CRNN,ONCOLOGY
TCL1A,ONCOLOGY
CD160,ONCOLOGY
TNFRSF4,ONCOLOGY
MIC.A.B,ONCOLOGY
WISP.1,ONCOLOGY
CXL17,ONCOLOGY
PPY,ONCOLOGY
S100A11,ONCOLOGY
AREG.1,ONCOLOGY
ESM.1,ONCOLOGY
CD207,ONCOLOGY
ICOSLG,ONCOLOGY
WFDC2,ONCOLOGY
CXCL13,ONCOLOGY
MAD.homolog.5,ONCOLOGY
ADAM.TS.15,ONCOLOGY
CD70,ONCOLOGY
RSPO3,ONCOLOGY
FR.gamma,ONCOLOGY
CEACAM5,ONCOLOGY
VEGFR.3,ONCOLOGY
MUC.16,ONCOLOGY
WIF.1,ONCOLOGY
GZMB,ONCOLOGY
FCRLB,ONCOLOGY
ANXA1,ONCOLOGY
FR.alpha,ONCOLOGY
CLSPN,ORGAN DAMAGE
DSG4,ORGAN DAMAGE
LRP1,ORGAN DAMAGE
CLEC1A,ORGAN DAMAGE
PXN,ORGAN DAMAGE
SMAD1,ORGAN DAMAGE
ALDH3A1,ORGAN DAMAGE
CSNK1D,ORGAN DAMAGE
TOP2B,ORGAN DAMAGE
AMN,ORGAN DAMAGE
PGF.1,ORGAN DAMAGE
MVK,ORGAN DAMAGE
ADGRG1,ORGAN DAMAGE
TIGAR,ORGAN DAMAGE
ENAH,ORGAN DAMAGE
EPO,ORGAN DAMAGE
PDGFC,ORGAN DAMAGE
AGR2,ORGAN DAMAGE
PRKAB1,ORGAN DAMAGE
DPP6,ORGAN DAMAGE
AIFM1,ORGAN DAMAGE
BAMBI,ORGAN DAMAGE
CAPG,ORGAN DAMAGE
BID,ORGAN DAMAGE
NUCB2,ORGAN DAMAGE
NOS3,ORGAN DAMAGE
TNNI3,ORGAN DAMAGE
CES2,ORGAN DAMAGE
INPPL1,ORGAN DAMAGE
SIRT5,ORGAN DAMAGE
ST3GAL1,ORGAN DAMAGE
FES,ORGAN DAMAGE
VEGFC,ORGAN DAMAGE
CA14,ORGAN DAMAGE
RCOR1,ORGAN DAMAGE
LTA4H,ORGAN DAMAGE
EDIL3,ORGAN DAMAGE
FOXO1,ORGAN DAMAGE
CA12,ORGAN DAMAGE
PLIN1,ORGAN DAMAGE
PRKRA,ORGAN DAMAGE
PPM1B,ORGAN DAMAGE
YES1,ORGAN DAMAGE
ENTPD2,ORGAN DAMAGE
PDP1,ORGAN DAMAGE
VASH1,ORGAN DAMAGE
LAT2,ORGAN DAMAGE
KIM1.1,ORGAN DAMAGE
STX8,ORGAN DAMAGE
ERBB2IP,ORGAN DAMAGE
RASA1,ORGAN DAMAGE
MAEA,ORGAN DAMAGE
GALNT10,ORGAN DAMAGE
BTC,ORGAN DAMAGE
PON2,ORGAN DAMAGE
MAGED1,ORGAN DAMAGE
NPPC,ORGAN DAMAGE
BANK1,ORGAN DAMAGE
PLXDC1,ORGAN DAMAGE
NBN,ORGAN DAMAGE
MAX,ORGAN DAMAGE
ENTPD6.1,ORGAN DAMAGE
MAP4K5,ORGAN DAMAGE
ITGB1BP1,ORGAN DAMAGE
NUB1,ORGAN DAMAGE
RARRES1,ORGAN DAMAGE
RASSF2,ORGAN DAMAGE
CALCA,ORGAN DAMAGE
CRH,ORGAN DAMAGE
METAP1,ORGAN DAMAGE
PDCD1,ORGAN DAMAGE
PTN,ORGAN DAMAGE
SERPINA9,ORGAN DAMAGE
ATP6AP2,ORGAN DAMAGE
NCF2,ORGAN DAMAGE
FGR,ORGAN DAMAGE
PSMA1,ORGAN DAMAGE
HPGDS,ORGAN DAMAGE
STXBP3,ORGAN DAMAGE
FKBP1B,ORGAN DAMAGE
CNTN2,ORGAN DAMAGE
WAS,ORGAN DAMAGE
PTPRJ,ORGAN DAMAGE
RRM2B,ORGAN DAMAGE
PTK7,ORGAN DAMAGE
PVALB,ORGAN DAMAGE
EGFL7,ORGAN DAMAGE
FABP9,ORGAN DAMAGE
TMPRSS15,ORGAN DAMAGE
LHB,ORGAN DAMAGE
FOSB,ORGAN DAMAGE
CALR,ORGAN DAMAGE
